 ,Area,Mean,Min,Max,Angle,Length
1,0.044,17.763,3.417,25.694,-30.964,0.680
2,0.031,11.718,5.250,18.000,-75.964,0.443
3,0.020,16.407,8.000,25.556,-45.000,0.275
4,0.031,23.565,10.000,32.000,-75.964,0.481
5,0.041,18.025,3.364,26.192,-33.690,0.647
6,0.024,16.302,8.000,25.741,-68.199,0.332
7,0.017,11.825,2.500,20.000,-104.036,0.235
8,0.014,13.812,11.250,16.917,-71.565,0.184
9,0.061,16.387,6.322,27.706,-93.366,0.963
10,0.014,8.854,6.111,15.000,-71.565,0.157
11,0.014,8.257,3.000,14.250,-71.565,0.149
12,0.014,10.417,5.000,21.000,-71.565,0.184
13,0.017,15.825,9.000,21.000,-45.000,0.247
14,0.024,9.056,4.000,16.938,-26.565,0.352
15,0.017,8.619,7.875,9.875,-18.435,0.212
16,0.014,13.750,4.000,20.000,-90.000,0.175
17,0.020,16.433,10.000,21.700,-90.000,0.293
18,0.020,17.503,11.630,23.500,-53.130,0.310
19,0.017,21.025,10.000,25.000,-90.000,0.204
20,0.031,9.672,2.250,23.000,-74.055,0.452
21,0.014,16.432,3.778,29.025,-63.435,0.183
22,0.014,7.340,3.605,16.000,0.000,0.160
23,0.007,11.278,4.333,18.222,-45.000,0.082
24,0.014,10.278,7.111,12.000,-108.435,0.191
25,0.017,12.828,9.167,18.083,-146.310,0.237
26,0.010,10.037,3.333,15.000,-71.565,0.141
27,0.010,4.241,1.778,5.556,-63.435,0.130
28,0.007,7.333,4.667,10.000,-45.000,0.082
29,0.017,11.356,6.222,13.222,0.000,0.233
30,0.020,9.233,4.121E-12,13.440,-101.310,0.269
31,0.010,5.370,4.111,7.333,45.000,0.124
32,0.010,11.741,8.889,14.667,45.000,0.137
33,0.010,7.204,3.778,11.333,0.000,0.118
34,0.010,5.000,3.000,8.000,0.000,0.123
35,0.010,6.111,4.000,8.000,-26.565,0.130
36,0.027,11.071,5.753,17.580,-74.055,0.400
37,0.048,14.091,3.333,21.420,67.380,0.783
38,0.034,13.527,4.652,23.192,-26.565,0.507
39,0.031,22.525,16.000,31.333,-26.565,0.487
40,0.020,18.251,5.667,27.000,-21.801,0.296
