 ,Area,Mean,Min,Max,Angle,Length
1,0.601,17.247,2.000,33.677,14.430,10.281
2,1.107,20.583,2.063,36.884,-1.058,18.923
3,0.340,11.702,1.288,26.909,-47.454,5.776
4,0.160,11.776,2.403,24.008,-113.199,2.699
5,0.571,27.205,8.427,36.456,-48.395,9.744
6,0.683,18.331,1.209,35.904,-18.616,11.684
7,0.645,30.276,7.247,36.982,-130.930,11.016
8,0.295,20.616,5.401,34.305,-134.061,5.028
9,0.245,13.686,1.378,28.322,21.501,4.148
10,0.353,8.704,0.215,20.807,4.441,6.001
11,0.557,23.798,4.000,36.616,-124.762,9.495
12,0.781,15.143,2.209,29.490,28.250,13.333
13,0.380,11.914,1.637,27.918,6.226,6.449
14,0.234,17.558,6.667,26.889,21.337,3.975
15,0.496,13.085,0.122,30.181,89.605,8.470
16,0.520,17.141,0.997,32.727,-17.959,8.859
17,0.255,12.057,0.757,23.955,88.452,4.314
18,0.316,19.832,3.812,34.865,23.772,5.341
19,0.245,13.188,0.333,27.232,18.178,4.128
20,1.651,23.645,2.966,36.963,61.003,28.259
21,0.669,20.834,1.482,37.000,55.176,11.414
22,0.435,19.583,2.701,30.101,-68.703,7.381
23,0.717,17.978,2.760,36.906,70.787,12.250
24,0.302,23.356,9.948,36.666,59.036,5.124
25,0.638,15.201,2.034,33.000,78.930,10.919
26,0.526,17.094,0.031,33.973,72.624,8.995
27,0.683,22.089,1.991,37.000,61.641,11.646
28,0.397,23.779,7.000,35.402,21.894,6.731
29,1.148,17.249,0.998,35.716,23.512,19.626
30,0.370,15.450,2.739,31.415,-100.587,6.318
31,0.469,18.372,7.175,32.636,86.658,7.978
32,0.907,15.507,1.994,34.343,-8.648,15.522
33,0.374,15.195,2.465,31.826,15.945,6.335
34,0.289,19.976,6.849,34.252,23.824,4.923
35,0.408,16.306,2.234,32.420,109.199,6.918
36,0.360,11.956,1.705,27.960,5.981,6.135
37,0.584,22.706,2.888,33.504,-32.574,9.958
38,0.445,20.073,6.178,31.172,111.228,7.565
39,0.190,27.217,7.000,36.345,40.601,3.224
40,0.109,14.947,5.335,25.926,50.194,1.821
