 ,Area,Mean,Min,Max,Angle,Length
1,0.289,13.900,2.100,20.661,-17.560,4.860
2,0.282,14.317,2.889,23.975,83.581,4.722
3,0.389,15.584,3.348,19.911,19.895,6.549
4,0.196,10.062,0.000,18.000,29.745,3.310
5,0.165,9.758,2.217,17.766,150.709,2.757
6,0.327,16.367,3.000,20.942,74.638,5.535
7,0.203,10.794,2.000,18.504,142.734,3.390
8,0.537,16.937,2.907,23.913,50.763,9.087
9,0.444,11.560,2.000,19.000,-10.784,7.523
10,0.468,7.984,0.902,17.098,-11.143,7.891
11,0.138,11.526,2.710,17.407,60.803,2.284
12,0.282,15.550,3.667,18.910,11.449,4.728
13,0.334,13.359,3.000,21.130,65.308,5.616
14,0.255,9.585,2.000,19.726,-86.864,4.288
15,0.323,10.220,2.000,17.649,138.059,5.455
16,0.203,10.731,0.333,13.972,-160.017,3.414
17,0.643,17.808,9.134,26.000,-80.437,10.909
18,0.361,17.091,2.000,26.000,173.904,6.093
19,0.086,9.846,3.500,13.000,33.024,1.410
20,0.702,15.722,3.233,25.080,-13.143,11.884
21,0.330,11.340,2.000,18.000,110.908,5.584
22,0.561,10.847,2.091,20.722,76.050,9.474
23,0.210,8.371,2.000,17.518,42.979,3.514
24,0.220,9.112,2.000,17.971,45.000,3.677
25,0.667,17.049,3.287,25.562,98.926,11.327
26,0.117,8.314,2.000,17.248,93.468,1.918
27,0.200,14.235,4.398,19.391,23.860,3.343
28,0.210,8.417,2.000,16.563,121.293,3.507
29,0.179,15.860,5.000,23.181,-23.051,2.993
30,0.072,8.103,2.107,12.778,60.945,1.189
31,0.083,7.234,2.060,14.000,61.189,1.348
32,0.334,11.537,2.194,19.852,60.479,5.602
33,0.316,10.504,2.000,17.510,-128.264,5.319
34,0.134,10.804,2.667,17.464,152.745,2.204
35,0.175,16.191,3.000,22.026,-26.565,2.920
36,0.200,7.889,2.005,17.234,120.114,3.366
37,0.217,14.288,3.000,20.707,21.631,3.630
38,0.134,18.609,8.410,25.690,16.557,2.251
39,0.251,16.478,3.000,25.389,153.789,4.232
40,0.272,8.460,2.060,17.089,140.194,4.581
41,0.144,7.436,2.177,15.369,94.185,2.393
42,0.182,8.209,2.299,15.692,56.004,3.047
43,0.430,12.403,2.332,21.756,112.834,7.255
44,0.310,12.878,2.105,22.000,10.934,5.222
45,0.189,12.113,3.056,18.445,51.667,3.176
46,0.382,11.467,2.039,18.364,110.251,6.457
47,0.306,15.704,7.000,20.125,-154.312,5.159
48,0.482,11.782,2.000,19.412,-160.652,8.162
49,0.499,11.032,2.000,20.000,58.079,8.430
50,0.162,10.302,2.819,17.846,69.590,2.709
51,0.365,8.966,1.578,17.536,99.819,6.145
52,0.557,10.678,2.019,19.145,-94.645,9.456
53,0.275,13.413,0.000,18.863,-81.254,4.629
54,0.148,12.786,4.418,17.611,105.018,2.476
55,0.255,16.520,6.345,24.522,154.841,4.285
56,0.499,12.093,2.111,18.000,21.949,8.473
57,0.341,9.500,2.000,17.860,111.584,5.740
58,0.581,14.408,2.000,21.952,76.544,9.830
59,0.612,16.153,2.825,24.306,164.233,10.361
60,0.372,17.088,9.750,22.206,-126.656,6.287
61,0.650,11.013,2.603,22.808,-154.799,11.020
62,0.337,11.174,2.473,19.959,63.699,5.692
63,0.320,10.242,2.000,19.522,48.521,5.402
64,0.454,16.307,1.513,20.901,148.736,7.685
65,0.633,11.796,2.000,21.690,104.871,10.741
66,0.406,16.336,9.000,23.795,-79.651,6.856
67,0.427,14.753,3.000,20.235,-16.521,7.219
68,0.671,10.344,0.120,21.443,44.375,11.406
