 ,Area,Mean,Min,Max,Angle,Length
1,0.651,11.172,0.860,22.022,44.572,11.092
2,0.337,6.693,0.000,15.700,71.565,5.713
3,0.286,9.199,2.000,17.885,80.194,4.829
4,0.211,10.440,2.673,17.767,-109.904,3.557
5,0.191,13.035,2.133,17.606,-101.725,3.182
6,0.089,7.598,2.825,14.321,21.371,1.431
7,0.572,11.415,0.388,23.035,13.870,9.739
8,0.593,17.095,2.000,23.876,19.274,10.079
9,0.623,10.885,2.267,23.127,25.436,10.599
10,0.095,11.585,2.000,19.111,121.329,1.572
11,0.136,10.839,2.103,18.000,154.093,2.271
12,0.358,13.943,5.388,19.000,78.906,6.067
13,0.334,10.763,2.000,19.000,52.539,5.662
14,0.347,8.052,0.000,17.261,64.708,5.874
15,0.140,16.476,12.275,19.975,112.068,2.330
16,0.181,16.491,4.000,20.000,27.553,3.028
17,0.371,16.472,9.000,20.000,60.124,6.327
18,0.569,9.887,2.000,18.650,7.595,9.716
19,0.089,15.237,3.000,19.043,115.560,1.488
20,0.174,12.097,3.600,18.602,137.420,2.933
21,0.487,12.669,2.803,19.276,23.305,8.262
22,0.337,9.347,2.000,17.965,114.734,5.719
23,0.589,11.517,2.000,19.171,74.833,10.038
24,0.559,11.638,2.004,19.519,76.900,9.528
25,0.589,15.728,3.217,24.971,-13.470,10.023
26,0.712,16.678,1.572,25.877,-11.903,12.168
27,0.235,15.069,3.423,20.549,-26.188,3.968
28,0.344,16.386,4.604,23.600,-19.344,5.815
29,0.552,16.594,3.844,25.644,-16.189,9.420
30,0.184,9.478,1.000,18.962,47.291,3.098
31,0.157,11.201,2.000,18.202,38.660,2.616
32,0.123,9.053,2.000,18.000,64.885,2.063
33,0.109,10.258,2.784,17.513,70.974,1.790
34,0.160,15.782,5.665,22.876,36.119,2.673
35,0.170,10.084,8.384E-13,22.000,55.008,2.850
36,0.681,17.762,5.394,25.929,99.273,11.591
37,0.099,9.169,2.000,17.571,96.116,1.644
38,0.617,17.624,9.000,25.327,100.248,10.498
39,0.300,9.673,2.032,16.970,-42.672,5.081
40,0.194,8.820,0.000,14.893,-158.962,3.252
41,0.296,14.555,2.081,19.771,10.784,4.991
42,0.382,11.980,2.000,21.306,63.895,6.500
43,0.187,9.754,0.000,18.647,36.656,3.128
44,0.136,5.264,0.000,15.172,149.534,2.302
45,0.279,13.372,2.074,21.506,162.688,4.707
46,0.283,11.730,2.100,22.000,82.266,4.771
47,0.307,11.804,1.000,21.921,57.926,5.166
48,0.167,11.669,3.667,17.958,129.036,2.780
49,0.583,10.452,2.000,18.765,134.762,9.946
50,0.164,7.582,4.093E-12,14.368,171.347,2.716
51,0.378,11.530,2.058,19.252,96.801,6.407
52,0.354,11.054,2.417,22.000,-154.680,6.005
53,0.501,13.280,2.068,21.053,31.839,8.519
54,0.528,10.270,1.000,20.260,76.054,8.961
55,0.194,8.896,2.456E-11,17.590,56.592,3.286
56,0.123,9.549,2.000,13.780,55.408,2.056
57,0.157,8.624,2.000,17.000,137.726,2.603
58,0.106,9.880,2.000,17.000,11.689,1.728
59,0.119,8.194,2.000,14.824,135.000,1.981
60,0.273,8.497,2.000,17.017,142.696,4.623
61,0.334,8.783,1.860,18.990,101.889,5.666
62,0.160,9.066,2.000,17.000,63.997,2.663
63,0.225,10.403,2.049,18.192,59.490,3.794
64,0.368,11.033,2.168,20.679,-96.992,6.233
65,0.525,10.289,2.000,19.000,-94.485,8.957
66,0.266,12.845,3.000,19.151,100.437,4.510
67,0.433,12.303,2.000,22.836,112.900,7.350
68,0.167,7.758,2.087,13.000,52.651,2.790
