 ,Area,Mean,Min,Max,Angle,Length
1,0.044,13.991,10.444,18.333,118.610,0.714
2,0.014,8.620,3.889,16.889,56.310,0.195
3,0.020,13.356,12.000,15.733,0.000,0.272
4,0.014,12.611,10.667,18.000,135.000,0.195
5,0.027,14.157,10.111,18.136,26.565,0.383
6,0.034,14.844,4.000,20.852,180.000,0.545
7,0.024,10.984,5.333,15.000,99.462,0.359
8,0.037,12.640,3.333,20.000,-156.038,0.557
9,0.024,11.226,10.000,12.778,30.964,0.367
10,0.014,11.306,5.000,14.778,123.690,0.195
11,0.024,13.413,11.667,17.667,18.435,0.369
12,0.024,14.921,11.000,20.333,9.462,0.352
13,0.017,13.000,7.000,18.000,116.565,0.227
14,0.048,12.542,4.222,18.385,157.380,0.766
15,0.048,10.590,2.333,13.571,63.435,0.748
16,0.068,12.911,4.978,18.067,51.340,1.106
17,0.020,18.022,12.333,20.800,126.870,0.304
18,0.027,11.652,10.111,12.930,81.870,0.391
19,0.034,11.034,2.000,13.683,57.995,0.541
20,0.020,12.033,5.333,16.000,45.000,0.304
21,0.027,14.188,4.000,17.497,164.055,0.419
22,0.037,11.836,8.778,18.000,29.055,0.594
23,0.017,8.411,2.000,10.333,71.565,0.210
24,0.020,8.341,5.733,13.929,168.690,0.321
25,0.010,13.778,11.333,15.000,153.435,0.140
26,0.024,12.000,3.778,18.333,108.435,0.369
27,0.010,15.222,8.333,22.000,26.565,0.123
28,0.014,11.136,10.000,11.914,63.435,0.174
29,0.010,13.222,6.667,19.000,116.565,0.140
30,0.034,16.068,11.333,20.753,63.435,0.522
31,0.037,11.731,7.667,15.320,147.995,0.561
32,0.034,11.284,3.728,19.667,122.005,0.541
33,0.044,13.896,11.000,15.809,26.565,0.680
34,0.014,8.327,3.975,12.667,90.000,0.160
35,0.010,6.111,5.000,6.778,135.000,0.110
36,0.014,7.500,4.667,10.000,135.000,0.165
37,0.037,11.299,6.444,17.000,66.038,0.557
38,0.020,8.884,0.751,15.004,158.199,0.296
39,0.014,12.778,11.889,13.222,90.000,0.195
40,0.020,17.556,13.778,21.733,180.000,0.311
41,0.020,10.615,5.111,14.000,180.000,0.311
42,0.010,14.481,9.333,19.000,45.000,0.110
43,0.014,7.599,2.457,15.000,180.000,0.160
44,0.020,8.493,2.333,14.347,165.964,0.283
45,0.037,10.543,1.667,15.111,41.186,0.608
46,0.014,11.346,5.778,18.605,116.565,0.160
47,0.017,11.822,8.556,13.833,153.435,0.261
48,0.024,6.974,2.926,10.988,120.964,0.348
49,0.041,13.163,10.000,15.485,21.801,0.629
50,0.020,8.631,0.000,15.040,158.199,0.296
