 ,Area,Mean,Min,Max,Angle,Length
1,0.041,11.829,0.000,18.778,84.806,0.625
2,0.031,9.552,5.861,11.333,-7.125,0.469
3,0.010,9.222,3.556,13.444,153.435,0.141
4,0.021,14.839,10.667,18.284,126.870,0.281
5,0.014,9.981,3.667,14.148,18.435,0.174
6,0.044,14.113,11.667,17.250,55.008,0.725
7,0.014,13.028,6.333,20.000,135.000,0.165
8,0.014,10.448,7.000,14.025,71.565,0.199
9,0.017,3.800,2.000,5.000,0.000,0.234
10,0.010,5.630,4.222,7.667,26.565,0.141
11,0.010,15.556,15.000,16.333,153.435,0.123
12,0.041,13.617,10.333,20.394,95.194,0.629
13,0.014,10.685,9.889,11.963,33.690,0.195
14,0.017,12.200,4.333,19.667,0.000,0.234
15,0.038,11.033,4.111,14.507,68.199,0.594
16,0.021,15.763,11.000,20.311,90.000,0.273
17,0.031,13.037,10.667,17.000,90.000,0.468
18,0.034,12.563,7.667,16.351,35.538,0.530
19,0.014,12.056,8.556,16.037,90.000,0.156
20,0.010,7.370,6.778,7.667,135.000,0.141
21,0.038,11.924,5.000,18.320,53.130,0.585
22,0.017,13.311,10.111,15.222,33.690,0.221
23,0.017,10.944,4.778,18.000,104.036,0.237
24,0.024,9.063,5.116E-13,13.778,-18.435,0.359
25,0.014,8.676,6.444,12.815,33.690,0.195
26,0.024,14.212,9.778,17.333,71.565,0.359
27,0.024,15.698,12.000,19.444,18.435,0.370
28,0.038,11.481,1.364E-12,17.396,23.962,0.576
29,0.014,8.281,3.667,15.778,123.690,0.174
30,0.021,11.140,4.667,16.160,26.565,0.297
31,0.014,17.222,11.556,21.667,135.000,0.195
32,0.010,3.333,2.000,5.000,26.565,0.141
33,0.021,15.314,5.000,21.200,0.000,0.276
34,0.041,14.069,10.000,15.752,99.462,0.667
35,0.017,8.700,2.500,13.000,116.565,0.262
36,0.034,9.389,2.274E-13,17.333,0.000,0.546
37,0.031,11.424,7.000,14.000,123.690,0.476
38,0.014,10.728,5.000,13.198,161.565,0.161
39,0.038,11.974,7.556,15.067,131.186,0.609
40,0.021,12.083,8.556,13.933,153.435,0.314
41,0.014,10.796,7.000,12.667,123.690,0.195
42,0.010,4.222,2.000,5.667,135.000,0.141
43,0.038,12.658,3.720,19.160,23.962,0.594
44,0.031,12.796,6.444,18.667,50.194,0.469
45,0.014,11.722,9.333,14.000,0.000,0.156
46,0.041,10.686,3.000,15.435,111.801,0.630
47,0.024,17.587,11.889,24.000,-9.462,0.353
48,0.024,13.360,9.222,15.222,80.538,0.353
49,0.034,16.271,11.000,18.247,-174.289,0.551
50,0.021,15.264,12.222,17.778,78.690,0.314
51,0.014,19.046,15.333,21.259,56.310,0.195
52,0.027,14.722,11.333,17.785,66.801,0.420
53,0.021,11.941,9.107,19.000,53.130,0.314
54,0.024,14.053,11.309,17.333,26.565,0.349
55,0.027,11.494,6.048,15.810,146.310,0.414
56,0.027,12.849,6.000,16.778,146.310,0.390
57,0.014,16.222,12.667,18.333,135.000,0.165
58,0.014,8.528,5.000,11.444,135.000,0.195
59,0.031,10.275,2.000,13.500,135.000,0.469
60,0.014,11.130,5.889,16.000,123.690,0.195
61,0.024,11.413,2.000,14.778,21.801,0.333
62,0.017,15.900,10.000,19.333,0.000,0.237
63,0.024,12.302,10.333,15.556,9.462,0.353
64,0.055,15.342,7.157,20.357,8.130,0.861
