 ,Area,Mean,Min,Max,Angle,Length
1,0.120,13.899,3.000,31.187,1.933,8.207
2,0.075,19.204,1.337,33.158,2.625,5.098
3,0.114,15.772,3.000,28.840,51.909,7.808
4,0.065,16.875,3.086,30.746,16.253,4.477
5,0.038,16.062,3.000,29.000,77.196,2.631
6,0.033,30.378,23.000,34.000,103.325,2.277
7,0.102,16.465,3.000,31.162,10.133,6.969
8,0.025,15.274,3.000,27.992,109.359,1.709
9,0.033,13.944,3.131,23.268,-122.645,2.221
10,0.036,16.741,1.000,28.000,139.508,2.481
11,0.022,20.357,14.945,31.097,45.785,1.512
12,0.021,29.591,11.000,34.000,-99.273,1.447
13,0.019,15.686,3.108,27.131,-1.998,1.264
14,0.019,16.411,1.519,26.000,147.926,1.290
15,0.027,13.335,3.000,28.680,127.875,1.828
16,0.020,14.133,3.000,28.000,-158.199,1.335
17,0.018,15.582,3.000,28.729,-29.320,1.220
18,0.009,15.272,3.732,20.000,-5.572,0.601
19,0.032,30.218,23.000,34.000,17.949,2.176
20,0.034,20.797,3.000,33.688,110.136,2.329
