 ,Area,Mean,Min,Max,Angle,Length
1,0.045,19.547,16.000,22.432,15.255,0.683
2,0.045,20.769,15.000,23.000,0.000,0.704
3,0.021,20.281,15.778,23.000,21.801,0.322
4,0.028,18.039,15.333,20.810,8.130,0.399
5,0.021,14.246,12.253,15.333,-21.801,0.315
6,0.048,20.734,18.213,22.949,-4.764,0.747
7,0.021,18.437,13.778,20.867,53.130,0.315
8,0.038,15.992,12.000,18.044,66.038,0.581
9,0.021,18.582,10.889,21.000,68.199,0.322
10,0.021,17.437,14.889,19.333,90.000,0.274
11,0.045,14.154,9.111,15.778,-4.764,0.705
12,0.017,12.989,2.000,18.000,56.310,0.250
13,0.010,16.556,15.000,19.333,90.000,0.124
14,0.010,9.074,4.667,11.444,63.435,0.124
15,0.017,15.167,13.111,18.000,56.310,0.228
16,0.024,14.198,8.667,17.309,149.036,0.350
17,0.010,11.037,5.667,14.444,63.435,0.141
18,0.017,15.189,12.000,17.667,0.000,0.238
19,0.055,20.212,10.667,22.400,-7.125,0.903
20,0.014,16.833,12.667,19.556,90.000,0.156
