 ,Area,Mean,Min,Max,Angle,Length
1,0.012,15.505,8.000,22.000,-6.009,0.466
2,0.010,12.800,6.000,18.933,31.608,0.372
3,0.003,14.633,11.000,18.000,14.036,0.099
4,0.007,14.611,12.000,19.912,21.801,0.278
5,0.008,12.459,1.861,17.000,120.964,0.284
6,0.005,19.289,14.722,22.674,45.000,0.207
7,0.006,11.446,6.556,17.667,49.399,0.231
8,0.010,13.757,1.000,20.000,3.576,0.374
9,0.006,13.644,10.765,17.667,0.000,0.211
10,0.002,10.846,5.222,13.778,-18.435,0.083
11,0.005,10.452,1.222,14.857,51.340,0.163
12,0.005,13.630,9.333,16.714,18.435,0.160
13,0.016,15.153,1.889,19.556,114.624,0.641
14,0.005,12.085,3.000,18.000,119.745,0.204
15,0.014,14.919,11.212,18.000,15.255,0.541
16,0.007,14.856,11.147,17.480,21.801,0.248
17,0.007,13.317,10.077,16.523,4.764,0.277
18,0.005,14.284,10.611,20.889,82.875,0.196
19,0.004,15.544,11.333,19.000,0.000,0.130
20,0.005,15.943,13.333,20.000,-26.565,0.182
21,0.007,15.886,10.000,18.787,32.005,0.248
22,0.004,12.841,1.000,18.000,161.565,0.154
23,0.002,11.574,3.000,16.444,123.690,0.081
24,0.002,12.216,2.333,18.000,108.435,0.073
25,0.004,15.822,13.427,17.347,143.130,0.131
26,0.002,7.778,3.000,14.000,135.000,0.069
27,0.004,12.425,6.444,14.000,180.000,0.115
28,0.005,13.109,8.000,16.993,-7.125,0.180
29,0.004,14.178,10.800,17.667,36.870,0.127
30,0.003,13.000,7.000,18.000,116.565,0.109
31,0.005,15.519,5.000,18.689,161.565,0.166
32,0.006,17.154,10.971,21.901,32.005,0.212
33,0.002,14.420,10.667,17.432,18.435,0.073
34,0.003,15.844,10.000,23.000,165.964,0.103
35,0.004,12.173,3.222,16.893,126.870,0.131
36,0.004,15.387,11.333,18.680,153.435,0.117
37,0.004,15.630,10.000,20.667,135.000,0.115
38,0.005,12.685,2.333,19.000,-172.875,0.196
39,0.004,19.055,13.333,22.520,180.000,0.115
40,0.005,14.122,4.667,17.862,123.690,0.176
