 ,Area,Mean,Min,Max,Angle,Length
1,0.037,20.245,4.917,32.333,96.232,2.553
2,0.013,19.946,9.024,27.884,89.061,0.892
3,0.031,20.520,2.970,30.029,-34.242,2.091
4,0.014,22.597,10.957,28.797,-69.027,0.932
5,0.033,24.405,7.345,31.769,160.297,2.287
6,0.037,21.402,8.188,31.171,-28.926,2.524
7,0.042,21.061,6.091,31.292,-129.023,2.866
8,0.038,23.105,5.061,32.467,22.276,2.616
9,0.014,16.518,2.778,22.539,63.034,0.936
10,0.013,14.632,1.619,28.059,50.906,0.896
11,0.013,16.337,3.641,25.373,86.248,0.893
12,0.014,22.260,9.000,27.925,-70.750,0.962
13,0.016,24.658,11.464,33.000,-16.557,1.110
14,0.015,12.289,2.667,20.511,-168.857,0.988
15,0.015,14.114,1.331,28.567,58.891,0.990
16,0.012,17.153,4.685,22.667,82.999,0.839
17,0.039,22.343,11.074,31.889,21.218,2.663
18,0.022,25.014,12.340,32.053,-106.699,1.520
19,0.034,24.310,9.763,32.794,157.659,2.303
20,0.014,20.360,10.658,27.220,90.000,0.911
21,0.011,22.339,10.922,27.630,151.928,0.746
